S.No,Commentor Name,Comment,Dislike,Insulting,Neutral,Supporting,Meaningless,Class
1,Steven Maddock,First and last speech,,,1,,,1
2,max jelley,It would be soporificƒ??but those reforms made February pretty cold and unbearable,,1,,,,0
3,Iceman naz,Talk about reading from a script,,1,,,,0
4,Billy Leen,This didnt age well,,1,,,,0
5,Selin YŽñlmaz,look my sweetheart .,,,,1,,1
6,Mariya Takeuchi,Say what you want but that podium goes hard,1,,,,,0
7,Debojit Roy,????,,,,1,,1
8,Marius Munteanu,Whay you dont talk and drogs Kellers,1,,,,,0
9,Hood MacGreg,"Watching your video never get me bored. But I am here to recommend a trusted trader called Abigail. Her platform is the best, they trade with the best strategies to maximize profits",,,,1,,1
10,Geneth Brown,"It&#39;s a good feeling when you&#39;re Investing and getting paid, without being scared or worried. Trader Abigail platform is really the best i received several withdrawal successful",,,,1,,1
11,Thuy Altrick,To get best paying platform has been my prayers long time ago. Now I am so happy to be in Trader Abigail platform,,,,1,,1
12,Mercy Thomas,I&#39;m glad to invest in Trader Abigail platform you must surely get paid with good profits when you invest,,,,1,,1
13,Hike Imran,"Trader Abigail platform has always made me proud, it&#39;s a great platform with amazing investment plans",,,,1,,1
14,Merit Humble,"My fellow investor I am happy to choose Trader Abigail platform, it&#39;s a good and reliable platform. They are really trying",,,,1,,1
15,Logan Owen,"Trader Abigail platform are 100% accurate with trade, I earn massively with my little start up investment capital",,,,1,,1
16,Clara Dave,"I&#39;m saying Trader Abigail platform is the best platform so far, for those who hasn&#39;t invest with Trader Abigail platform you&#39;re really missing alot",,,,1,,1
17,Owen Josh,It&#39;s really good to invest in the right platform and get paid,,,,1,,1
18,Peace Jasper,"This is great, very happy to be part of Trader Abigail platform. It&#39;s safe",,,,1,,1
19,Glory Liam,Trader Abigail platform is really helping me out of many things. I&#39;m really happy for the breakthrough God has given to me through Trader Abigail platform,,,,1,,1
20,Villa Bineh,"Impressed with what Trader Abigail platform is paying to Investors, no matter the amount they always deliver profit return",,,,1,,1
21,Reese Peter,How can I get started,,,1,,,1
22,Hood MacGreg,hi,,,,,1,1
23,Hood MacGreg,hi,,,,,1,1
24,Hood MacGreg,hi,,,,,1,1
25,Hood MacGreg,Thatƒ??s Mrs Abigail number I brief it because it refused to enter in a straight method,,,,,1,1
26,Hood MacGreg,@Reese Peter send her a message on Whatsapp,,,1,,,1
27,Hood MacGreg,You can also send her a message on Telegram,,,1,,,1
28,Hood MacGreg,@traderabigail198,,,1,,,1
29,Hood MacGreg,Thatƒ??s her telegram username ƒ???¯,,,,,1,1
30,Reese Peter,"@Hood MacGreg Thank you very much, I sent her a message now",,,,,1,1
31,Valere Kike,You will never regret investing with Trader Abigail platform this is the best platform you will invest with and receive your profit successful without delay,,,,1,,1
