S.No,Commentor name,Comment,Dislike,Insulting,Neutral,Supporting,Meaningless, Class
1,TK-224,"Ah, English politics. Where everyone hates the politicians equally.",1,,,,,0
2,Sonu Singh Nirwan,Black,,,,,1,1
3,Sonu Singh Nirwan,Tell me your political problm,,,,,1,1
4,Sonu Singh Nirwan,Best off luck 2gethr 4ever,,,,1,,1
5,GUERRIANDO & MOCHILIOANDO,He  is Indian? OMG,,,1,,,1
6,ChrisFan890,His accent touched my heart,,,,1,,1
7,Nina Evans,Deliver this the only word politicians like to use!,,,1,,,1
8,Nina Evans,Lot of talking but no action as usual!,1,,,,,0
9,LW1zFog,Ritchy WEFƒ??s ƒ??plansƒ?? all come from Klaus,,,,,1,1
10,Rob Walker,And what do we do with those we have?,1,,,,,0
11,Gerek Yok,I really don&#39;t understand Brits are original and smart people but this idiot is running this country I&#39;m just laughing he is xenophobic and xenophobic racism is not an ideology it&#39;s just a disease,1,,,,,0
12,Larry Belo,I say thanks for your good work delivery speech to people the truth about our mission to help life of people on earth and save the crisis of the world economy I hope the unity of humanity of one word one world religion one rule government in the name of Jesus Christ our Lord all about us peace with god..!!!,,,,1,,1
13,Reven Steed,Wooden.,,,,,1,1
14,June Simmons,"Sunak insults our intelligence. The Only Truth from this unelected, overprivileged PM as been his admission that he doesn&#39;t know or have any friends among  Workers! - He&#39;s so &#39;grateful; to NHS workers he wants to &#39;reward&#39; them with a 2% payrise - in effect another Cut. He is, himself, cushioned from the People&#39;s experience of the cost of living crisis, not least by his wife&#39;s ?œfortune - but calls the deportation of vulnerable people risking their lives crossing the English Channel in leaky boats seeking Refuge increasingly from the effects of places rendered unlivable due to climate change - he endorses deportation to Rwanda, sub-Saharan Africa where the population has suffered most from a climate catastrophe that they did not cause.",1,,,,,0
15,Mark Jones,"he should of said im a traitor, world economic forum controll me.",1,,,,,0
16,andrew hubbard,The government and the WEAK courts need to get TOUGH on law and order in this country and STOP giving criminals suspended prison sentences there&#39;s NO deterrent anymore the justice system is at its lowest ever,1,,,,,0
17,Matthew Waddington,And as for the crime thing...I&#39;ve been living in a &#39;rough area&#39; for the past year...And I&#39;ve been fine!,,,,1,,1
18,Matthew Waddington,How can he bring relief?...Every time I see his weirdly deformed face...And hear his slimy voice; I feel the taste of sick in my mouth! THATS NOT RELIEF!,1,,,,,0
19,ROSHAN,...<br>..,,,,,1,1
20,Dirty&Legit Entertainment,Believe it or not but this is all complete bullshitt,1,,,,,0
21,Junji Ellhna,But I don&#39;t use NHS for my family....,,,,,1,1
22,Just a Kid,Will from the Inbetweeners is lying.,1,,,,,0
23,Chanpreet SINGH,Till 1947 Britishers ruled over India and now Indian is ruling over Britishers proud of Rishi Sunak ????????????????????????????????,,,,1,,1
24,tintit tintin,Clearly he will keep his promise to the tories and deliver more lies to the public,1,,,,,0
25,Bruce Curtis,I can&#39;t wait till 2024 when Rishi loses his own seat in (Richman). What  a time to be alive. A big ???????ª off Rishi.,1,,,,,0
26,Sri Nivas,Hi,,,,,1,1
